Country Code,Country Name,year,tem_change
X01,World,1961,0.207
X01,World,1962,0.034
X01,World,1963,0.159
X01,World,1964,-0.253
X01,World,1965,-0.226
X01,World,1966,0.201
X01,World,1967,-0.114
X01,World,1968,-0.12
X01,World,1969,-0.09
X01,World,1970,0.153
X01,World,1971,-0.092
X01,World,1972,-0.195
X01,World,1973,0.275
X01,World,1974,-0.181
X01,World,1975,0.09
X01,World,1976,-0.311
X01,World,1977,0.271
X01,World,1978,0.004
X01,World,1979,0.225
X01,World,1980,0.33
X01,World,1981,0.439
X01,World,1982,0.078
X01,World,1983,0.452
X01,World,1984,0.12
X01,World,1985,-0.034
X01,World,1986,0.238
X01,World,1987,0.391
X01,World,1988,0.549
X01,World,1989,0.326
X01,World,1990,0.636
X01,World,1991,0.458
X01,World,1992,0.183
X01,World,1993,0.346
X01,World,1994,0.501
X01,World,1995,0.831
X01,World,1996,0.354
X01,World,1997,0.656
X01,World,1998,0.992
X01,World,1999,0.788
X01,World,2000,0.735
X01,World,2001,0.836
X01,World,2002,1.018
X01,World,2003,0.896
X01,World,2004,0.914
X01,World,2005,1.103
X01,World,2006,1.001
X01,World,2007,1.198
X01,World,2008,0.938
X01,World,2009,0.967
X01,World,2010,1.228
X01,World,2011,0.923
X01,World,2012,1.081
X01,World,2013,1.021
X01,World,2014,1.052
X01,World,2015,1.419
X01,World,2016,1.674
X01,World,2017,1.44
X01,World,2018,1.301
X01,World,2019,1.473
X06,Africa,1961,-0.017
X06,Africa,1962,-0.04
X06,Africa,1963,0.064
X06,Africa,1964,-0.153
X06,Africa,1965,-0.197
X06,Africa,1966,0.138
X06,Africa,1967,-0.209
X06,Africa,1968,-0.218
X06,Africa,1969,0.354
X06,Africa,1970,0.221
X06,Africa,1971,-0.208
X06,Africa,1972,-0.002
X06,Africa,1973,0.377
X06,Africa,1974,-0.237
X06,Africa,1975,-0.23
X06,Africa,1976,-0.26
X06,Africa,1977,0.232
X06,Africa,1978,0.077
X06,Africa,1979,0.444
X06,Africa,1980,0.366
X06,Africa,1981,0.104
X06,Africa,1982,0.217
X06,Africa,1983,0.408
X06,Africa,1984,0.333
X06,Africa,1985,0.301
X06,Africa,1986,0.283
X06,Africa,1987,0.671
X06,Africa,1988,0.608
X06,Africa,1989,-0.019
X06,Africa,1990,0.574
X06,Africa,1991,0.386
X06,Africa,1992,0.112
X06,Africa,1993,0.407
X06,Africa,1994,0.418
X06,Africa,1995,0.58
X06,Africa,1996,0.551
X06,Africa,1997,0.588
X06,Africa,1998,0.961
X06,Africa,1999,0.666
X06,Africa,2000,0.496
X06,Africa,2001,0.677
X06,Africa,2002,0.894
X06,Africa,2003,0.999
X06,Africa,2004,0.825
X06,Africa,2005,1.1
X06,Africa,2006,0.94
X06,Africa,2007,0.818
X06,Africa,2008,0.754
X06,Africa,2009,1.011
X06,Africa,2010,1.541
X06,Africa,2011,0.949
X06,Africa,2012,0.781
X06,Africa,2013,1.014
X06,Africa,2014,1.036
X06,Africa,2015,1.208
X06,Africa,2016,1.442
X06,Africa,2017,1.224
X06,Africa,2018,1.222
X06,Africa,2019,1.415
,Eastern Africa,1961,0.252
,Eastern Africa,1962,-0.12
,Eastern Africa,1963,-0.212
,Eastern Africa,1964,-0.273
,Eastern Africa,1965,-0.374
,Eastern Africa,1966,0.124
,Eastern Africa,1967,-0.042
,Eastern Africa,1968,-0.38
,Eastern Africa,1969,0.253
,Eastern Africa,1970,0.26
,Eastern Africa,1971,-0.238
,Eastern Africa,1972,-0.025
,Eastern Africa,1973,0.382
,Eastern Africa,1974,-0.236
,Eastern Africa,1975,-0.124
,Eastern Africa,1976,-0.064
,Eastern Africa,1977,0.31
,Eastern Africa,1978,0.155
,Eastern Africa,1979,0.174
,Eastern Africa,1980,0.391
,Eastern Africa,1981,0.066
,Eastern Africa,1982,0.218
,Eastern Africa,1983,0.612
,Eastern Africa,1984,0.248
,Eastern Africa,1985,0.131
,Eastern Africa,1986,0.12
,Eastern Africa,1987,0.658
,Eastern Africa,1988,0.667
,Eastern Africa,1989,0.033
,Eastern Africa,1990,0.372
,Eastern Africa,1991,0.315
,Eastern Africa,1992,0.492
,Eastern Africa,1993,0.182
,Eastern Africa,1994,0.393
,Eastern Africa,1995,0.607
,Eastern Africa,1996,0.461
,Eastern Africa,1997,0.543
,Eastern Africa,1998,0.741
,Eastern Africa,1999,0.268
,Eastern Africa,2000,0.432
,Eastern Africa,2001,0.547
,Eastern Africa,2002,0.772
,Eastern Africa,2003,0.874
,Eastern Africa,2004,0.596
,Eastern Africa,2005,1.051
,Eastern Africa,2006,0.792
,Eastern Africa,2007,0.76
,Eastern Africa,2008,0.613
,Eastern Africa,2009,0.986
,Eastern Africa,2010,1.233
,Eastern Africa,2011,0.983
,Eastern Africa,2012,0.99
,Eastern Africa,2013,0.96
,Eastern Africa,2014,0.971
,Eastern Africa,2015,1.353
,Eastern Africa,2016,1.338
,Eastern Africa,2017,1.304
,Eastern Africa,2018,0.983
,Eastern Africa,2019,1.515
,Middle Africa,1961,-0.1
,Middle Africa,1962,-0.176
,Middle Africa,1963,0.038
,Middle Africa,1964,-0.16
,Middle Africa,1965,-0.154
,Middle Africa,1966,0.088
,Middle Africa,1967,-0.172
,Middle Africa,1968,-0.16
,Middle Africa,1969,0.231
,Middle Africa,1970,0.21
,Middle Africa,1971,-0.141
,Middle Africa,1972,0.059
,Middle Africa,1973,0.523
,Middle Africa,1974,-0.09
,Middle Africa,1975,-0.107
,Middle Africa,1976,-0.133
,Middle Africa,1977,0.195
,Middle Africa,1978,0.045
,Middle Africa,1979,0.382
,Middle Africa,1980,0.314
,Middle Africa,1981,0.033
,Middle Africa,1982,0.124
,Middle Africa,1983,0.3
,Middle Africa,1984,0.304
,Middle Africa,1985,0.203
,Middle Africa,1986,0.277
,Middle Africa,1987,0.467
,Middle Africa,1988,0.334
,Middle Africa,1989,-0.203
,Middle Africa,1990,0.334
,Middle Africa,1991,0.317
,Middle Africa,1992,-0.183
,Middle Africa,1993,0.178
,Middle Africa,1994,0.324
,Middle Africa,1995,0.43
,Middle Africa,1996,0.231
,Middle Africa,1997,0.443
,Middle Africa,1998,0.993
,Middle Africa,1999,0.454
,Middle Africa,2000,0.393
,Middle Africa,2001,0.271
,Middle Africa,2002,0.725
,Middle Africa,2003,0.817
,Middle Africa,2004,0.699
,Middle Africa,2005,0.994
,Middle Africa,2006,0.875
,Middle Africa,2007,0.658
,Middle Africa,2008,0.547
,Middle Africa,2009,0.895
,Middle Africa,2010,1.191
,Middle Africa,2011,0.758
,Middle Africa,2012,0.504
,Middle Africa,2013,0.863
,Middle Africa,2014,0.799
,Middle Africa,2015,1.095
,Middle Africa,2016,1.325
,Middle Africa,2017,1.097
,Middle Africa,2018,1.279
,Middle Africa,2019,1.476
,Northern Africa,1961,-0.03
,Northern Africa,1962,0.129
,Northern Africa,1963,0.192
,Northern Africa,1964,-0.083
,Northern Africa,1965,-0.153
,Northern Africa,1966,0.25
,Northern Africa,1967,-0.35
,Northern Africa,1968,-0.163
,Northern Africa,1969,0.406
,Northern Africa,1970,0.048
,Northern Africa,1971,-0.329
,Northern Africa,1972,-0.146
,Northern Africa,1973,0.091
,Northern Africa,1974,-0.29
,Northern Africa,1975,-0.359
,Northern Africa,1976,-0.458
,Northern Africa,1977,0.221
,Northern Africa,1978,-0.045
,Northern Africa,1979,0.561
,Northern Africa,1980,0.242
,Northern Africa,1981,0.138
,Northern Africa,1982,0.195
,Northern Africa,1983,0.046
,Northern Africa,1984,0.153
,Northern Africa,1985,0.363
,Northern Africa,1986,0.314
,Northern Africa,1987,0.545
,Northern Africa,1988,0.826
,Northern Africa,1989,0.1
,Northern Africa,1990,0.765
,Northern Africa,1991,0.303
,Northern Africa,1992,-0.211
,Northern Africa,1993,0.417
,Northern Africa,1994,0.595
,Northern Africa,1995,0.527
,Northern Africa,1996,0.68
,Northern Africa,1997,0.68
,Northern Africa,1998,0.915
,Northern Africa,1999,1.081
,Northern Africa,2000,0.579
,Northern Africa,2001,1.197
,Northern Africa,2002,1.119
,Northern Africa,2003,1.187
,Northern Africa,2004,0.984
,Northern Africa,2005,1.075
,Northern Africa,2006,1.155
,Northern Africa,2007,0.85
,Northern Africa,2008,1.041
,Northern Africa,2009,1.16
,Northern Africa,2010,2.057
,Northern Africa,2011,1.197
,Northern Africa,2012,1.094
,Northern Africa,2013,1.24
,Northern Africa,2014,1.515
,Northern Africa,2015,1.097
,Northern Africa,2016,1.712
,Northern Africa,2017,1.212
,Northern Africa,2018,1.519
,Northern Africa,2019,1.175
,Southern Africa,1961,0.212
,Southern Africa,1962,0.13
,Southern Africa,1963,0.013
,Southern Africa,1964,-0.058
,Southern Africa,1965,-0.01
,Southern Africa,1966,0.248
,Southern Africa,1967,-0.179
,Southern Africa,1968,-0.27
,Southern Africa,1969,0.254
,Southern Africa,1970,0.457
,Southern Africa,1971,-0.129
,Southern Africa,1972,-0.029
,Southern Africa,1973,0.484
,Southern Africa,1974,-0.508
,Southern Africa,1975,-0.134
,Southern Africa,1976,-0.598
,Southern Africa,1977,0.171
,Southern Africa,1978,-0.035
,Southern Africa,1979,0.351
,Southern Africa,1980,0.127
,Southern Africa,1981,-0.276
,Southern Africa,1982,0.275
,Southern Africa,1983,0.747
,Southern Africa,1984,0.556
,Southern Africa,1985,0.508
,Southern Africa,1986,0.329
,Southern Africa,1987,0.895
,Southern Africa,1988,0.286
,Southern Africa,1989,-0.226
,Southern Africa,1990,0.53
,Southern Africa,1991,0.238
,Southern Africa,1992,0.777
,Southern Africa,1993,0.76
,Southern Africa,1994,0.154
,Southern Africa,1995,0.881
,Southern Africa,1996,-0.065
,Southern Africa,1997,0.161
,Southern Africa,1998,1.036
,Southern Africa,1999,0.955
,Southern Africa,2000,0.024
,Southern Africa,2001,0.381
,Southern Africa,2002,0.613
,Southern Africa,2003,0.993
,Southern Africa,2004,0.791
,Southern Africa,2005,1.118
,Southern Africa,2006,0.083
,Southern Africa,2007,0.846
,Southern Africa,2008,0.659
,Southern Africa,2009,0.601
,Southern Africa,2010,1.295
,Southern Africa,2011,0.248
,Southern Africa,2012,0.522
,Southern Africa,2013,0.884
,Southern Africa,2014,0.611
,Southern Africa,2015,1.439
,Southern Africa,2016,1.647
,Southern Africa,2017,0.874
,Southern Africa,2018,1.159
,Southern Africa,2019,1.911
,Western Africa,1961,-0.289
,Western Africa,1962,-0.12
,Western Africa,1963,0.22
,Western Africa,1964,-0.159
,Western Africa,1965,-0.203
,Western Africa,1966,0.005
,Western Africa,1967,-0.241
,Western Africa,1968,-0.167
,Western Africa,1969,0.56
,Western Africa,1970,0.33
,Western Africa,1971,-0.116
,Western Africa,1972,0.166
,Western Africa,1973,0.566
,Western Africa,1974,-0.206
,Western Africa,1975,-0.333
,Western Africa,1976,-0.179
,Western Africa,1977,0.233
,Western Africa,1978,0.25
,Western Africa,1979,0.666
,Western Africa,1980,0.67
,Western Africa,1981,0.337
,Western Africa,1982,0.319
,Western Africa,1983,0.667
,Western Africa,1984,0.603
,Western Africa,1985,0.403
,Western Africa,1986,0.397
,Western Africa,1987,0.982
,Western Africa,1988,0.679
,Western Africa,1989,0.05
,Western Africa,1990,0.793
,Western Africa,1991,0.712
,Western Africa,1992,0.194
,Western Africa,1993,0.712
,Western Africa,1994,0.412
,Western Africa,1995,0.66
,Western Africa,1996,1.078
,Western Africa,1997,0.84
,Western Africa,1998,1.185
,Western Africa,1999,0.6
,Western Africa,2000,0.767
,Western Africa,2001,0.655
,Western Africa,2002,1.011
,Western Africa,2003,1.063
,Western Africa,2004,0.993
,Western Africa,2005,1.289
,Western Africa,2006,1.235
,Western Africa,2007,0.994
,Western Africa,2008,0.764
,Western Africa,2009,1.131
,Western Africa,2010,1.624
,Western Africa,2011,1.181
,Western Africa,2012,0.672
,Western Africa,2013,1.067
,Western Africa,2014,1.073
,Western Africa,2015,1.191
,Western Africa,2016,1.322
,Western Africa,2017,1.441
,Western Africa,2018,1.142
,Western Africa,2019,1.266
X21,Americas,1961,0.052
X21,Americas,1962,-0.084
X21,Americas,1963,0.253
X21,Americas,1964,-0.251
X21,Americas,1965,-0.304
X21,Americas,1966,-0.101
X21,Americas,1967,-0.107
X21,Americas,1968,0.006
X21,Americas,1969,0.11
X21,Americas,1970,0.159
X21,Americas,1971,-0.24
X21,Americas,1972,-0.448
X21,Americas,1973,0.173
X21,Americas,1974,-0.286
X21,Americas,1975,-0.125
X21,Americas,1976,-0.133
X21,Americas,1977,0.499
X21,Americas,1978,-0.064
X21,Americas,1979,-0.06
X21,Americas,1980,0.509
X21,Americas,1981,0.698
X21,Americas,1982,-0.084
X21,Americas,1983,0.455
X21,Americas,1984,0.08
X21,Americas,1985,-0.002
X21,Americas,1986,0.297
X21,Americas,1987,0.835
X21,Americas,1988,0.561
X21,Americas,1989,0.188
X21,Americas,1990,0.371
X21,Americas,1991,0.408
X21,Americas,1992,0.255
X21,Americas,1993,0.274
X21,Americas,1994,0.506
X21,Americas,1995,0.713
X21,Americas,1996,0.189
X21,Americas,1997,0.565
X21,Americas,1998,1.421
X21,Americas,1999,0.809
X21,Americas,2000,0.735
X21,Americas,2001,0.852
X21,Americas,2002,0.789
X21,Americas,2003,0.999
X21,Americas,2004,0.694
X21,Americas,2005,1.048
X21,Americas,2006,1.234
X21,Americas,2007,0.941
X21,Americas,2008,0.593
X21,Americas,2009,0.709
X21,Americas,2010,1.33
X21,Americas,2011,0.872
X21,Americas,2012,1.352
X21,Americas,2013,0.864
X21,Americas,2014,0.733
X21,Americas,2015,1.361
X21,Americas,2016,1.755
X21,Americas,2017,1.34
X21,Americas,2018,0.96
X21,Americas,2019,1.246
,Northern America,1961,0.017
,Northern America,1962,-0.058
,Northern America,1963,0.372
,Northern America,1964,-0.285
,Northern America,1965,-0.594
,Northern America,1966,-0.185
,Northern America,1967,-0.195
,Northern America,1968,0.196
,Northern America,1969,-0.138
,Northern America,1970,0.194
,Northern America,1971,-0.227
,Northern America,1972,-1.028
,Northern America,1973,0.128
,Northern America,1974,-0.376
,Northern America,1975,-0.093
,Northern America,1976,-0.021
,Northern America,1977,0.746
,Northern America,1978,-0.29
,Northern America,1979,-0.243
,Northern America,1980,0.675
,Northern America,1981,1.193
,Northern America,1982,-0.508
,Northern America,1983,0.471
,Northern America,1984,0.038
,Northern America,1985,-0.144
,Northern America,1986,0.302
,Northern America,1987,1.11
,Northern America,1988,0.839
,Northern America,1989,0.147
,Northern America,1990,0.363
,Northern America,1991,0.419
,Northern America,1992,0.226
,Northern America,1993,0.154
,Northern America,1994,0.451
,Northern America,1995,0.766
,Northern America,1996,-0.055
,Northern America,1997,0.403
,Northern America,1998,1.864
,Northern America,1999,1.219
,Northern America,2000,1.141
,Northern America,2001,1.102
,Northern America,2002,0.757
,Northern America,2003,1.147
,Northern America,2004,0.696
,Northern America,2005,1.235
,Northern America,2006,1.692
,Northern America,2007,1.237
,Northern America,2008,0.537
,Northern America,2009,0.473
,Northern America,2010,1.826
,Northern America,2011,1.002
,Northern America,2012,1.786
,Northern America,2013,0.902
,Northern America,2014,0.389
,Northern America,2015,1.33
,Northern America,2016,2.273
,Northern America,2017,1.426
,Northern America,2018,0.873
,Northern America,2019,1.179
,Central America,1961,-0.139
,Central America,1962,0.114
,Central America,1963,0.154
,Central America,1964,-0.261
,Central America,1965,-0.076
,Central America,1966,-0.196
,Central America,1967,-0.148
,Central America,1968,-0.4
,Central America,1969,0.195
,Central America,1970,-0.261
,Central America,1971,-0.096
,Central America,1972,0.296
,Central America,1973,-0.044
,Central America,1974,-0.127
,Central America,1975,-0.245
,Central America,1976,-0.405
,Central America,1977,0.092
,Central America,1978,0.206
,Central America,1979,0.042
,Central America,1980,0.436
,Central America,1981,0.168
,Central America,1982,0.583
,Central America,1983,0.19
,Central America,1984,-0.049
,Central America,1985,0.104
,Central America,1986,0.268
,Central America,1987,-0.014
,Central America,1988,0.206
,Central America,1989,0.397
,Central America,1990,0.272
,Central America,1991,0.307
,Central America,1992,0.151
,Central America,1993,0.334
,Central America,1994,0.689
,Central America,1995,0.77
,Central America,1996,0.459
,Central America,1997,0.544
,Central America,1998,0.783
,Central America,1999,0.544
,Central America,2000,0.522
,Central America,2001,0.516
,Central America,2002,0.689
,Central America,2003,0.823
,Central America,2004,0.358
,Central America,2005,0.761
,Central America,2006,0.808
,Central America,2007,0.531
,Central America,2008,0.522
,Central America,2009,1.028
,Central America,2010,0.393
,Central America,2011,0.935
,Central America,2012,0.827
,Central America,2013,0.772
,Central America,2014,0.824
,Central America,2015,1.094
,Central America,2016,1.284
,Central America,2017,1.425
,Central America,2018,1.121
,Central America,2019,1.307
,Caribbean,1961,-0.004
,Caribbean,1962,-0.027
,Caribbean,1963,-0.091
,Caribbean,1964,0.107
,Caribbean,1965,-0.142
,Caribbean,1966,-0.179
,Caribbean,1967,-0.242
,Caribbean,1968,-0.281
,Caribbean,1969,0.119
,Caribbean,1970,-0.244
,Caribbean,1971,-0.133
,Caribbean,1972,0.177
,Caribbean,1973,0.337
,Caribbean,1974,-0.144
,Caribbean,1975,0.247
,Caribbean,1976,-0.32
,Caribbean,1977,0.161
,Caribbean,1978,0.101
,Caribbean,1979,0.198
,Caribbean,1980,0.508
,Caribbean,1981,0.189
,Caribbean,1982,0.418
,Caribbean,1983,0.387
,Caribbean,1984,0.212
,Caribbean,1985,0.118
,Caribbean,1986,0.243
,Caribbean,1987,0.691
,Caribbean,1988,0.568
,Caribbean,1989,0.454
,Caribbean,1990,0.683
,Caribbean,1991,0.655
,Caribbean,1992,0.487
,Caribbean,1993,0.471
,Caribbean,1994,0.885
,Caribbean,1995,0.914
,Caribbean,1996,0.5
,Caribbean,1997,0.958
,Caribbean,1998,1.205
,Caribbean,1999,0.788
,Caribbean,2000,0.561
,Caribbean,2001,0.571
,Caribbean,2002,0.907
,Caribbean,2003,1.094
,Caribbean,2004,0.782
,Caribbean,2005,0.728
,Caribbean,2006,0.868
,Caribbean,2007,0.955
,Caribbean,2008,0.534
,Caribbean,2009,0.659
,Caribbean,2010,0.867
,Caribbean,2011,0.542
,Caribbean,2012,0.647
,Caribbean,2013,0.874
,Caribbean,2014,0.993
,Caribbean,2015,1.234
,Caribbean,2016,1.225
,Caribbean,2017,1.224
,Caribbean,2018,1.13
,Caribbean,2019,1.467
,South America,1961,0.116
,South America,1962,-0.139
,South America,1963,0.139
,South America,1964,-0.217
,South America,1965,-0.015
,South America,1966,0.007
,South America,1967,-0.001
,South America,1968,-0.147
,South America,1969,0.374
,South America,1970,0.184
,South America,1971,-0.277
,South America,1972,0.085
,South America,1973,0.251
,South America,1974,-0.209
,South America,1975,-0.149
,South America,1976,-0.217
,South America,1977,0.285
,South America,1978,0.148
,South America,1979,0.125
,South America,1980,0.335
,South America,1981,0.228
,South America,1982,0.289
,South America,1983,0.476
,South America,1984,0.144
,South America,1985,0.14
,South America,1986,0.296
,South America,1987,0.649
,South America,1988,0.3
,South America,1989,0.203
,South America,1990,0.389
,South America,1991,0.408
,South America,1992,0.299
,South America,1993,0.396
,South America,1994,0.536
,South America,1995,0.642
,South America,1996,0.418
,South America,1997,0.744
,South America,1998,1.017
,South America,1999,0.387
,South America,2000,0.312
,South America,2001,0.623
,South America,2002,0.837
,South America,2003,0.856
,South America,2004,0.738
,South America,2005,0.883
,South America,2006,0.786
,South America,2007,0.666
,South America,2008,0.666
,South America,2009,0.933
,South America,2010,0.906
,South America,2011,0.721
,South America,2012,0.943
,South America,2013,0.834
,South America,2014,1.105
,South America,2015,1.435
,South America,2016,1.242
,South America,2017,1.232
,South America,2018,1.034
,South America,2019,1.31
,Asia,1961,0.049
,Asia,1962,-0.008
,Asia,1963,0.266
,Asia,1964,-0.166
,Asia,1965,-0.033
,Asia,1966,0.326
,Asia,1967,-0.308
,Asia,1968,-0.337
,Asia,1969,-0.017
,Asia,1970,0.073
,Asia,1971,-0.122
,Asia,1972,-0.164
,Asia,1973,0.251
,Asia,1974,-0.132
,Asia,1975,0.018
,Asia,1976,-0.328
,Asia,1977,0.101
,Asia,1978,0.162
,Asia,1979,0.448
,Asia,1980,0.28
,Asia,1981,0.207
,Asia,1982,0.109
,Asia,1983,-0.013
,Asia,1984,-0.118
,Asia,1985,0.016
,Asia,1986,0.056
,Asia,1987,0.406
,Asia,1988,0.423
,Asia,1989,0.259
,Asia,1990,0.527
,Asia,1991,0.39
,Asia,1992,-0.059
,Asia,1993,0.073
,Asia,1994,0.522
,Asia,1995,0.616
,Asia,1996,0.173
,Asia,1997,0.614
,Asia,1998,1.047
,Asia,1999,1.091
,Asia,2000,0.68
,Asia,2001,1.019
,Asia,2002,1.16
,Asia,2003,0.644
,Asia,2004,1.088
,Asia,2005,0.862
,Asia,2006,1.101
,Asia,2007,1.182
,Asia,2008,0.873
,Asia,2009,1.075
,Asia,2010,1.251
,Asia,2011,0.701
,Asia,2012,0.693
,Asia,2013,1.054
,Asia,2014,0.909
,Asia,2015,1.284
,Asia,2016,1.457
,Asia,2017,1.464
,Asia,2018,1.343
,Asia,2019,1.369
,Eastern Asia,1961,0.27
,Eastern Asia,1962,-0.124
,Eastern Asia,1963,0.386
,Eastern Asia,1964,-0.026
,Eastern Asia,1965,0.159
,Eastern Asia,1966,0.202
,Eastern Asia,1967,-0.282
,Eastern Asia,1968,-0.468
,Eastern Asia,1969,-0.299
,Eastern Asia,1970,-0.313
,Eastern Asia,1971,0.01
,Eastern Asia,1972,0.048
,Eastern Asia,1973,0.451
,Eastern Asia,1974,-0.007
,Eastern Asia,1975,0.308
,Eastern Asia,1976,-0.37
,Eastern Asia,1977,-0.038
,Eastern Asia,1978,0.338
,Eastern Asia,1979,0.393
,Eastern Asia,1980,0.253
,Eastern Asia,1981,0.172
,Eastern Asia,1982,0.472
,Eastern Asia,1983,0.201
,Eastern Asia,1984,-0.183
,Eastern Asia,1985,-0.145
,Eastern Asia,1986,-0.015
,Eastern Asia,1987,0.396
,Eastern Asia,1988,0.415
,Eastern Asia,1989,0.565
,Eastern Asia,1990,0.958
,Eastern Asia,1991,0.598
,Eastern Asia,1992,0.234
,Eastern Asia,1993,0.292
,Eastern Asia,1994,0.826
,Eastern Asia,1995,0.655
,Eastern Asia,1996,0.217
,Eastern Asia,1997,0.885
,Eastern Asia,1998,1.389
,Eastern Asia,1999,1.291
,Eastern Asia,2000,0.628
,Eastern Asia,2001,1.1
,Eastern Asia,2002,1.196
,Eastern Asia,2003,0.764
,Eastern Asia,2004,1.201
,Eastern Asia,2005,1.022
,Eastern Asia,2006,1.192
,Eastern Asia,2007,1.676
,Eastern Asia,2008,1.172
,Eastern Asia,2009,1.323
,Eastern Asia,2010,0.868
,Eastern Asia,2011,0.775
,Eastern Asia,2012,0.563
,Eastern Asia,2013,1.048
,Eastern Asia,2014,1.166
,Eastern Asia,2015,1.385
,Eastern Asia,2016,1.339
,Eastern Asia,2017,1.681
,Eastern Asia,2018,1.483
,Eastern Asia,2019,1.485
,Southern Asia,1961,-0.16
,Southern Asia,1962,-0.24
,Southern Asia,1963,0.272
,Southern Asia,1964,-0.285
,Southern Asia,1965,-0.174
,Southern Asia,1966,0.336
,Southern Asia,1967,-0.256
,Southern Asia,1968,-0.283
,Southern Asia,1969,0.045
,Southern Asia,1970,0.418
,Southern Asia,1971,-0.148
,Southern Asia,1972,-0.395
,Southern Asia,1973,0.162
