,Country,Annual,DJF,MAM,JJA,SON
0,Afghanistan,14.46,0.0,0.29,13.64,0.69
1,Albania,0.54,0.0,0.0,0.54,0.0
2,Algeria,51.14,0.0,1.78,41.28,6.68
3,American Samoa,128.24,60.71,70.2,3.57,3.06
4,Andorra,0.0,0.0,0.0,0.0,0.0
5,Angola,0.55,0.05,0.36,0.03,0.04
6,Anguilla,105.6,0.2,0.05,36.75,67.2
7,Antigua and Barbuda,108.68,0.25,0.02,38.42,69.76
8,Argentina,12.02,8.31,1.06,0.0,1.68
9,Armenia,0.0,0.0,0.0,0.0,0.0
10,Aruba,211.73,33.32,30.96,69.72,75.24
11,Australia,22.36,14.37,4.5,0.03,4.1
12,Austria,0.0,0.0,0.0,0.0,0.0
13,Azerbaijan,9.87,0.0,0.0,9.43,0.42
14,Bahrain,-23.27,0.0,17.33,-44.16,-5.01
15,Bangladesh,48.84,0.0,25.31,3.83,28.14
16,Barbados,149.03,2.19,1.17,59.89,81.05
17,Belarus,0.01,0.0,0.0,0.01,0.0
18,Belgium,0.0,0.0,0.0,0.0,0.0
19,Belize,144.54,0.32,25.13,68.62,39.82
20,Benin,131.33,6.9,49.24,50.57,34.36
21,Bermuda,1.7,0.0,0.0,1.55,0.3
22,Bhutan,7.9,0.0,0.17,5.0,0.12
23,Bolivia,91.53,36.75,19.29,1.32,28.97
24,Bosnia and Herzegovina,0.01,0.0,0.0,0.01,0.0
25,Botswana,0.8,0.31,0.0,0.0,0.4
26,Brazil,119.26,34.11,26.35,11.45,43.13
27,British Indian Ocean Territory,202.25,69.95,82.25,16.75,14.8
28,British Virgin Islands,111.4,0.35,0.15,39.35,68.3
29,Brunei,151.05,16.04,34.36,52.82,46.34
30,Bulgaria,0.04,0.0,0.0,0.04,0.0
31,Burkina Faso,105.4,0.94,36.51,44.48,34.07
32,Burundi,0.0,0.0,0.0,0.0,0.0
33,Cambodia,160.68,4.23,40.06,67.88,51.4
34,Cameroon,27.12,1.26,13.07,7.05,3.52
35,Canada,0.0,0.0,0.0,0.0,0.0
36,Cape Verde,2.35,0.0,0.0,0.4,1.77
37,Cayman Islands,184.08,3.65,10.25,85.6,83.03
38,Central African Republic,15.52,0.3,11.31,1.6,0.8
39,Chad,77.82,0.1,18.35,42.12,14.86
40,Chile,0.0,0.0,0.0,0.0,0.0
41,China,13.15,0.0,1.24,10.25,1.84
42,Christmas Island,67.27,20.44,37.55,3.99,2.77
43,Cocos (Keeling) Islands,79.6,30.0,52.85,1.4,0.1
44,Colombia,139.66,23.78,34.08,33.07,46.88
45,Comoros,138.36,70.14,61.83,0.13,0.62
46,Congo (Republic of the),12.63,1.79,7.33,1.72,1.98
47,Congo (Democratic Republic of the),27.58,2.62,13.59,3.6,5.82
48,Cook Islands,28.65,10.19,16.55,0.0,0.0
49,Costa Rica,97.85,2.23,17.08,35.44,30.78
50,Cote d'Ivoire,121.16,15.7,65.72,24.21,20.18
51,Croatia,0.08,0.0,0.0,0.08,0.0
52,Cuba,116.24,0.0,0.55,64.4,46.73
53,Cyprus,25.41,0.0,0.0,23.56,3.13
54,Czech Republic,0.0,0.0,0.0,0.0,0.0
55,Denmark,0.0,0.0,0.0,0.0,0.0
56,Djibouti,98.86,0.23,32.15,39.02,27.51
57,Dominica,51.08,0.02,0.0,15.79,34.91
58,Dominican Republic,57.62,0.03,0.22,25.59,29.88
59,Ecuador,40.97,8.2,12.07,8.44,13.07
60,Egypt,43.8,0.0,1.14,36.99,5.34
61,El Salvador,48.25,0.69,9.57,19.19,16.86
62,Equatorial Guinea,17.86,0.64,12.34,3.5,0.57
63,Eritrea,67.66,0.41,16.59,30.03,18.41
64,Estonia,0.0,0.0,0.0,0.0,0.0
65,Ethiopia,17.94,0.16,7.15,5.26,3.37
66,Falkland Islands (Islas Malvinas),0.0,0.0,0.0,0.0,0.0
67,Faroe Islands,0.0,0.0,0.0,0.0,0.0
68,Fiji,29.14,14.57,14.91,0.0,0.07
69,Finland,0.0,0.0,0.0,0.0,0.0
70,France,0.13,0.0,0.0,0.13,0.0
71,French Guiana,79.58,1.71,6.15,21.55,22.19
72,French Polynesia,46.96,11.46,32.18,3.21,0.14
73,Gabon,29.52,5.05,16.45,5.81,2.63
74,West Bank and Gaza,40.84,0.0,0.01,34.8,4.35
75,Georgia,0.13,0.0,0.0,0.13,0.0
76,Germany,0.0,0.0,0.0,0.0,0.0
77,Ghana,168.17,19.13,64.38,46.93,40.15
78,Gibraltar,21.2,0.0,0.0,19.95,2.15
79,Greece,1.54,0.0,0.0,1.49,0.03
80,Greenland,0.0,0.0,0.0,0.0,0.0
81,Grenada,163.55,4.19,5.58,69.94,80.49
82,Guadeloupe,104.12,0.29,0.03,35.77,68.31
83,Guam,232.55,25.13,36.18,90.38,85.41
84,Guatemala,86.15,0.38,18.79,37.87,21.53
85,Guinea,61.46,0.78,36.21,12.36,9.01
86,Guinea-Bissau,130.55,0.56,43.48,36.32,34.21
87,Guyana,148.79,7.94,28.29,30.19,65.22
88,Haiti,80.41,0.12,0.45,36.24,40.6
89,Honduras,53.05,1.25,8.04,21.75,24.34
90,Hungary,0.14,0.0,0.0,0.14,0.0
91,Iceland,0.0,0.0,0.0,0.0,0.0
92,India,54.54,0.25,23.48,13.55,19.08
93,Indonesia,136.04,28.71,39.63,33.92,34.0
94,Iran,21.21,0.0,1.64,16.65,3.14
95,Iraq,57.22,0.0,2.18,40.52,11.82
96,Ireland,0.0,0.0,0.0,0.0,0.0
97,Israel,42.03,0.0,0.04,35.52,5.29
98,Italy,0.85,0.0,0.0,0.83,0.01
99,Jamaica,58.01,0.12,0.05,22.96,35.56
100,Japan,4.51,0.0,0.01,3.89,0.59
101,Jordan,12.68,0.0,0.0,12.04,0.62
102,Kazakhstan,1.12,0.0,0.0,1.11,0.0
103,Kenya,47.41,9.3,23.85,1.56,8.88
104,Kiribati,237.63,62.45,82.72,62.81,22.93
105,Kuwait,57.87,0.0,12.06,21.18,26.11
106,Kyrgyz Republic,0.0,0.0,0.0,0.0,0.0
107,Laos,92.7,0.16,27.8,48.76,18.98
108,Latvia,0.0,0.0,0.0,0.0,0.0
109,Lebanon,11.97,0.0,0.0,9.71,1.69
110,Lesotho,0.0,0.0,0.0,0.0,0.0
111,Liberia,82.14,13.04,55.58,7.13,4.12
112,Libya,33.71,0.0,0.71,29.17,1.96
113,Liechtenstein,0.0,0.0,0.0,0.0,0.0
114,Lithuania,0.01,0.0,0.0,0.01,0.0
115,Luxembourg,0.0,0.0,0.0,0.0,0.0
116,"Macao SAR, China",122.93,0.0,20.53,70.13,34.25
117,Macedonia,0.0,0.0,0.0,0.0,0.0
118,Madagascar,20.0,11.82,6.43,0.0,1.05
119,Malawi,4.47,2.03,0.11,0.0,1.76
120,Malaysia,89.43,4.62,26.13,32.99,23.37
121,Maldives,228.75,25.18,79.15,62.85,52.6
122,Mali,82.33,0.06,20.23,38.19,26.98
123,Malta,25.05,0.0,0.0,22.41,1.87
124,Marshall Islands,314.4,58.93,72.45,79.55,85.9
125,Martinique,41.91,0.1,0.06,12.98,27.82
126,Mauritania,70.63,0.0,10.91,37.34,25.75
127,Mauritius,23.27,13.5,9.12,0.0,0.0
128,Mayotte,157.38,79.75,71.88,0.4,4.4
129,Mexico,36.66,0.04,5.66,21.82,9.0
130,Federated States of Micronesia,288.44,56.01,61.17,73.29,82.73
131,Moldova,0.1,0.0,0.0,0.1,0.0
132,Monaco,0.0,0.0,0.0,0.0,0.0
133,Mongolia,0.01,0.0,0.0,0.01,0.0
134,Republic of Montenegro,0.13,0.0,0.0,0.13,0.0
135,Montserrat,108.6,0.25,0.0,38.1,69.8
136,Morocco,7.51,0.0,0.0,7.05,0.53
137,Mozambique,33.51,20.21,4.61,0.0,6.99
138,Myanmar (Burma),81.0,0.27,24.2,39.18,20.89
139,Namibia,0.03,0.01,0.0,0.0,0.02
140,Nauru,281.68,72.6,82.58,86.18,50.93
141,Nepal,16.75,0.0,3.5,10.58,3.85
142,Netherlands,0.0,0.0,0.0,0.0,0.0
143,Netherlands Antilles,179.73,8.95,5.2,75.68,84.7
144,New Caledonia,5.97,3.14,2.83,0.0,0.0
145,New Zealand,0.0,0.0,0.0,0.0,0.0
146,Nicaragua,85.71,1.84,11.79,33.19,36.87
147,Niger,79.16,0.01,13.16,45.61,18.64
148,Nigeria,107.64,5.25,45.76,33.48,17.9
149,Niue,44.7,24.7,27.88,0.0,0.0
150,Norfolk Island,0.0,0.0,0.0,0.0,0.0
151,"Korea, Democratic People's Republic of",1.31,0.0,0.0,1.3,0.02
152,Northern Mariana Islands,216.1,17.82,26.42,88.5,85.01
153,Norway,0.0,0.0,0.0,0.0,0.0
154,Oman,74.62,0.0,11.24,47.18,16.91
155,Pakistan,21.94,0.0,9.81,3.49,10.11
156,Palau,286.81,49.22,57.14,88.77,88.26
157,Panama,106.39,2.65,17.79,28.85,17.23
158,Papua New Guinea,105.01,35.27,35.32,14.38,22.83
159,Paraguay,81.54,39.41,8.83,0.01,20.52
160,Peru,90.17,26.69,19.81,13.13,32.43
161,Philippines,141.7,5.22,30.85,59.01,49.68
162,Pitcairn Islands,0.65,0.2,0.45,0.0,0.0
163,Poland,0.0,0.0,0.0,0.0,0.0
164,Portugal,0.13,0.0,0.0,0.12,0.0
165,Puerto Rico,67.26,0.01,0.01,20.03,44.51
166,Qatar,-10.79,0.0,22.0,-50.49,6.82
167,Reunion,0.57,0.39,0.14,0.0,0.0
168,Romania,0.05,0.0,0.0,0.05,0.0
169,Russia,0.05,0.0,0.0,0.05,0.0
170,Rwanda,0.0,0.0,0.0,0.0,0.0
171,Samoa,156.32,69.2,76.84,10.18,10.23
172,San Marino,0.0,0.0,0.0,0.0,0.0
173,Sao Tome and Principe,6.97,0.02,5.56,0.4,0.04
174,Saudi Arabia,73.2,0.01,7.38,49.81,15.54
175,Senegal,109.43,0.04,26.72,49.49,32.88
176,Republic of Serbia,0.19,0.0,0.0,0.19,0.0
177,Seychelles,167.99,61.82,81.31,5.85,14.47
178,Sierra Leone,144.05,10.04,71.64,22.82,26.02
179,Singapore,267.85,31.58,70.45,91.05,82.8
180,Slovakia,0.0,0.0,0.0,0.0,0.0
181,Slovenia,0.0,0.0,0.0,0.0,0.0
182,Solomon Islands,59.76,28.51,33.84,4.13,3.21
183,Somalia,103.14,8.69,45.43,13.87,24.14
184,South Africa,0.92,0.63,0.06,0.0,0.2
185,"Korea, Republic of",1.11,0.0,0.0,1.0,0.08
186,South Sudan,123.43,2.2,38.88,34.53,30.0
187,Spain,0.78,0.0,0.0,0.76,0.01
188,Sri Lanka,178.95,13.19,49.33,59.01,53.59
189,St. Helena,12.56,1.46,9.03,0.0,0.0
190,St. Kitts and Nevis,101.9,0.15,0.0,34.65,66.3
191,St. Lucia,125.7,0.8,0.5,45.55,75.05
192,St. Vincent and the Grenadines,159.15,5.25,2.05,65.05,82.8
193,Sudan,82.58,0.01,11.89,45.76,18.62
194,Suriname,96.83,2.76,13.25,28.21,42.27
195,Svalbard,0.0,0.0,0.0,0.0,0.0
196,Eswatini,7.28,6.05,0.62,0.0,0.54
197,Sweden,0.0,0.0,0.0,0.0,0.0
198,Switzerland,0.0,0.0,0.0,0.0,0.0
199,Syria,29.15,0.0,0.01,28.05,1.31
200,Tajikistan,1.32,0.0,0.01,1.32,0.0
201,"Tanzania, United Republic of",10.4,4.37,2.76,0.01,1.23
202,Thailand,124.81,2.77,33.55,51.39,38.32
203,"Bahamas, The",93.74,0.02,0.36,51.71,38.96
204,"Gambia, The",114.46,0.02,29.14,46.6,35.27
205,Timor Leste,25.95,16.1,7.5,0.02,1.54
206,Togo,128.4,11.27,60.92,35.49,24.38
207,Tokelau,327.5,83.37,88.3,84.88,72.9
208,Tonga,37.57,16.52,21.47,0.04,0.1
209,Trinidad and Tobago,155.11,2.67,8.82,72.28,60.59
210,Tunisia,38.85,0.0,0.25,34.44,3.31
211,Turkey,3.44,0.0,0.0,3.29,0.13
212,Turkmenistan,22.02,0.0,0.08,21.58,0.3
213,Turks and Caicos Islands,131.35,0.1,0.55,61.45,64.45
214,Tuvalu,285.15,78.87,89.0,68.62,48.83
215,Uganda,0.35,0.0,0.3,0.0,0.01
216,Ukraine,0.1,0.0,0.0,0.1,0.0
217,United Arab Emirates,24.91,0.0,24.27,-9.83,18.78
218,United Kingdom,0.0,0.0,0.0,0.0,0.0
219,United States,10.24,0.0,0.17,8.9,1.04
220,Uruguay,5.92,5.12,0.46,0.0,0.27
221,Uzbekistan,12.5,0.0,0.04,12.4,0.02
222,Vanuatu,25.15,12.38,11.69,0.01,0.07
223,Venezuela,120.4,12.89,25.96,31.76,42.74
224,Vietnam,86.77,1.79,26.56,33.71,28.94
225,Virgin Islands,111.4,0.35,0.15,39.35,68.3
226,Wallis and Futuna,140.83,63.88,74.54,5.04,5.18
227,Western Sahara,40.62,0.0,0.36,32.28,9.48
228,Yemen,29.52,0.1,6.06,17.1,7.03
229,Zambia,0.94,0.27,0.03,0.0,0.57
230,Zimbabwe,4.35,1.53,0.13,0.0,2.23
